year,unemployment rate
7-Jan,4.6
7-Feb,4.5
7-Mar,4.4
7-Apr,4.5
7-May,4.4
7-Jun,4.6
7-Jul,4.7
7-Aug,4.6
7-Sep,4.7
7-Oct,4.7
7-Nov,4.7
7-Dec,5
8-Jan,5
8-Feb,4.9
8-Mar,5.1
8-Apr,5
8-May,5.4
8-Jun,5.6
8-Jul,5.8
8-Aug,6.1
8-Sep,6.1
8-Oct,6.5
8-Nov,6.8
8-Dec,7.3
9-Jan,7.8
9-Feb,8.3
9-Mar,8.7
9-Apr,9
9-May,9.4
9-Jun,9.5
9-Jul,9.5
9-Aug,9.6
9-Sep,9.8
9-Oct,10
9-Nov,9.9
9-Dec,9.9
10-Jan,9.8
10-Feb,9.8
10-Mar,9.9
10-Apr,9.9
10-May,9.6
10-Jun,9.4
10-Jul,9.4
10-Aug,9.5
10-Sep,9.5
10-Oct,9.4
10-Nov,9.8
10-Dec,9.3
11-Jan,9.1
11-Feb,9
11-Mar,9
11-Apr,9.1
11-May,9
11-Jun,9.1
11-Jul,9
11-Aug,9
11-Sep,9
11-Oct,8.8
11-Nov,8.6
11-Dec,8.5
12-Jan,8.3
12-Feb,8.3
12-Mar,8.2
12-Apr,8.2
12-May,8.2
12-Jun,8.2
12-Jul,8.2
12-Aug,8.1
12-Sep,7.8
12-Oct,7.8
12-Nov,7.7
12-Dec,7.9
13-Jan,8
13-Feb,7.7
13-Mar,7.5
13-Apr,7.6
13-May,7.5
13-Jun,7.5
13-Jul,7.3
13-Aug,7.3
13-Sep,7.2
13-Oct,7.2
13-Nov,6.9
13-Dec,6.7
14-Jan,6.6
14-Feb,6.7
14-Mar,6.7
14-Apr,6.2
14-May,6.3
14-Jun,6.1
14-Jul,6.2
14-Aug,6.2
14-Sep,5.9
14-Oct,5.7
14-Nov,5.8
14-Dec,5.6
15-Jan,5.7
15-Feb,5.5
15-Mar,5.4
15-Apr,5.4
15-May,5.5
15-Jun,5.3
15-Jul,5.2
15-Aug,5.1
15-Sep,5
15-Oct,5
15-Nov,5
15-Dec,5
16-Jan,4.9
16-Feb,4.9
16-Mar,5
16-Apr,5
16-May,4.7
16-Jun,4.9
16-Jul,4.9
16-Aug,4.9
16-Sep,4.9
16-Oct,4.8
16-Nov,4.6
16-Dec,4.7